age,gender,college_tier,branch,degree,cgpa,backlog_history,attendance_percentage,DSA_problems_solved,GitHub_repos,internships_completed,resume_score,communication_skills,aptitude_score,hackathons_participated,primary_language,placement_status,company_type
23,Female,2,MECH,B.Tech,7.7,0,82.5,150,0,2,73,72,77,1,Java,Placed,Product Based
21,Male,3,EEE,B.Tech,7.5,1,100,40,1,0,92,65,70,0,Python,Not Placed,Not Placed
23,Male,3,MECH,B.Tech,8.02,0,75,189,1,1,100,50,68,3,C++,Placed,Service Based
23,Male,1,AI&DS,B.Tech,7.59,0,85.4,187,3,1,95,51,59,0,C++,Placed,Service Based
22,Male,2,IT,B.Tech,8.39,0,80.1,184,3,0,100,79,100,1,C++,Placed,Product Based
23,Male,3,EEE,B.Tech,7.14,0,80.1,178,3,1,85,48,66,0,C++,Placed,Service Based
23,Female,2,EEE,B.Tech,8.15,0,78.5,194,6,0,89,74,71,0,Java,Placed,Product Based
21,Male,2,EEE,B.Tech,8.15,0,82.4,223,1,0,100,57,87,1,Python,Placed,Product Based
24,Male,2,MECH,B.Tech,8.88,0,91.8,127,5,1,96,40,65,2,Java,Placed,Product Based
21,Female,1,CSE,B.Tech,7,0,89.2,166,1,1,85,55,61,3,Java,Placed,Service Based
22,Female,2,MECH,B.Tech,7.56,0,77.6,111,3,0,92,46,45,2,Java,Placed,Service Based
24,Female,3,MECH,B.Tech,7.66,0,84.3,138,0,0,97,42,71,0,C++,Placed,Service Based
23,Male,2,EEE,B.Tech,6.7,0,81.4,140,1,0,74,73,63,0,C++,Placed,Service Based
23,Female,3,ECE,B.Tech,7.6,0,97.9,188,5,2,90,68,96,0,Python,Placed,Product Based
23,Female,1,AI&DS,B.Tech,9.31,1,70.1,373,4,2,100,68,95,2,Python,Placed,Product Based
24,Female,2,MECH,B.Tech,9.78,0,73.8,315,3,2,100,81,85,1,Java,Placed,Product Based
21,Female,1,AI&DS,B.Tech,8.33,0,62.6,193,1,2,81,43,77,0,C++,Placed,Product Based
24,Male,2,IT,B.Tech,7.85,0,81.3,134,1,0,81,70,62,0,C++,Not Placed,Not Placed
23,Female,3,IT,B.Tech,8.05,1,72.1,264,3,1,96,66,98,0,Java,Placed,Product Based
21,Male,3,ECE,B.Tech,7.66,2,80.8,105,0,1,93,76,76,3,C++,Not Placed,Not Placed
23,Female,1,EEE,B.Tech,7.29,0,83.5,132,2,0,86,68,71,0,Python,Placed,Service Based
21,Female,2,CSE,B.Tech,8.02,0,74.6,294,3,2,82,73,65,2,Python,Placed,Product Based
20,Female,3,EEE,B.Tech,8.08,0,83.2,232,4,1,79,58,89,0,Java,Placed,Service Based
20,Male,2,CSE,B.Tech,8.53,0,82.3,257,2,1,100,60,74,3,C++,Placed,Product Based
21,Female,2,CSE,B.Tech,6.3,1,84.7,141,0,0,94,73,50,0,Python,Placed,Service Based
24,Male,2,AI&DS,B.Tech,7.32,0,74.3,180,1,1,82,53,74,0,C++,Placed,Product Based
24,Male,2,EEE,B.Tech,7.39,2,88.5,143,0,0,76,80,63,0,C++,Placed,Service Based
21,Female,3,MECH,B.Tech,7.88,0,86.4,270,3,1,84,70,70,1,C++,Placed,Service Based
20,Male,3,MECH,B.Tech,7.21,0,74.9,69,2,0,90,69,58,0,Java,Not Placed,Not Placed
20,Female,1,ECE,B.Tech,7.69,0,70.7,134,3,0,92,62,53,0,Python,Not Placed,Not Placed
21,Male,2,IT,B.Tech,8.01,1,86.6,326,3,0,88,58,88,2,Java,Placed,Product Based
20,Female,2,ECE,B.Tech,6.99,0,75.7,126,3,0,81,80,71,1,C++,Not Placed,Not Placed
23,Female,1,MECH,B.Tech,8.6,0,79.9,310,5,0,86,78,84,1,Python,Placed,Product Based
24,Male,3,AI&DS,B.Tech,6.94,0,80.9,30,1,0,87,68,35,0,Python,Placed,Service Based
22,Male,2,IT,B.Tech,6.98,1,79,132,0,1,78,50,73,0,Java,Placed,Service Based
24,Female,3,EEE,B.Tech,9.35,1,93.6,353,0,3,100,65,100,1,Python,Placed,Product Based
23,Female,2,IT,B.Tech,8.07,0,74.1,235,2,0,82,68,67,2,Java,Placed,Service Based
20,Male,1,ECE,B.Tech,7.14,0,89.4,248,2,1,90,82,63,3,Python,Placed,Product Based
23,Male,3,CSE,B.Tech,8.83,0,76.6,239,3,2,86,56,81,2,C++,Placed,Product Based
21,Male,2,CSE,B.Tech,7.54,0,86.5,159,0,1,100,68,74,1,C++,Placed,Service Based
22,Male,3,MECH,B.Tech,7.8,0,78.8,114,3,1,98,65,81,1,C++,Placed,Service Based
21,Female,3,CSE,B.Tech,7.2,0,84.3,229,4,0,85,63,73,1,Python,Not Placed,Not Placed
24,Female,2,MECH,B.Tech,7.64,0,63.7,257,3,0,91,62,73,2,C++,Placed,Product Based
22,Male,2,MECH,B.Tech,9.12,0,96.3,298,3,1,100,71,78,1,C++,Placed,Product Based
24,Male,1,CSE,B.Tech,7.34,0,96.3,118,0,0,82,76,62,0,Python,Placed,Service Based
23,Male,3,IT,B.Tech,8.84,0,77.5,298,4,2,100,57,90,2,C++,Placed,Product Based
20,Female,1,MECH,B.Tech,7.59,0,90.3,196,7,1,94,67,81,0,Python,Placed,Product Based
24,Male,2,AI&DS,B.Tech,7.11,1,78,45,0,0,89,49,59,0,Python,Not Placed,Not Placed
20,Male,3,IT,B.Tech,8.38,1,85.8,243,3,0,93,62,100,1,Python,Placed,Product Based
21,Male,1,ECE,B.Tech,7.39,0,73.7,175,5,1,85,82,90,1,Java,Placed,Product Based
23,Male,2,AI&DS,B.Tech,6.79,1,90.9,63,0,0,82,55,66,3,C++,Not Placed,Not Placed
22,Female,2,ECE,B.Tech,7.48,0,92.6,196,6,2,83,66,66,1,Python,Placed,Product Based
24,Female,2,AI&DS,B.Tech,8.06,0,83.6,219,1,0,96,98,87,0,Java,Placed,Service Based
24,Male,3,IT,B.Tech,8.43,0,92.5,285,6,0,100,62,96,1,C++,Placed,Service Based
22,Male,3,EEE,B.Tech,8.16,0,77.8,236,1,2,100,55,49,0,Java,Placed,Product Based
21,Female,3,AI&DS,B.Tech,6.41,0,87.2,11,0,0,78,54,55,0,C++,Not Placed,Not Placed
23,Male,3,EEE,B.Tech,8.03,0,84.7,259,1,1,93,51,96,1,C++,Placed,Service Based
23,Male,1,IT,B.Tech,8.14,0,69.9,199,0,2,94,68,69,2,Python,Placed,Product Based
23,Male,2,ECE,B.Tech,8.96,0,93.4,265,4,2,99,63,100,1,C++,Placed,Product Based
20,Female,3,ECE,B.Tech,8.02,1,77.9,234,4,2,91,49,77,0,C++,Placed,Product Based
23,Male,3,MECH,B.Tech,8.2,0,93.7,246,2,2,84,66,79,0,Python,Placed,Product Based
24,Male,3,EEE,B.Tech,6.27,0,93.6,60,0,0,75,55,64,1,Java,Not Placed,Not Placed
22,Female,3,MECH,B.Tech,8.1,0,81.5,152,0,1,78,74,57,3,Python,Placed,Product Based
24,Male,1,AI&DS,B.Tech,6.41,1,80.2,41,1,0,88,67,48,0,Java,Not Placed,Not Placed
20,Female,1,EEE,B.Tech,6.86,1,87.6,141,4,1,79,58,68,1,Java,Not Placed,Not Placed
23,Female,3,ECE,B.Tech,7.04,0,79,163,0,0,80,51,68,0,C++,Not Placed,Not Placed
22,Male,1,AI&DS,B.Tech,6.54,1,71.8,85,0,0,83,54,66,0,C++,Not Placed,Not Placed
23,Female,2,AI&DS,B.Tech,8.28,0,86.3,294,4,2,90,69,74,0,Python,Placed,Product Based
24,Male,2,AI&DS,B.Tech,7.38,0,96.8,236,3,1,99,57,71,1,Python,Placed,Product Based
21,Male,2,CSE,B.Tech,6.82,1,81.2,130,0,0,86,50,67,1,Python,Not Placed,Not Placed
20,Male,1,IT,B.Tech,8.56,0,80.7,243,2,1,92,83,68,1,Python,Placed,Service Based
23,Female,3,EEE,B.Tech,8.39,0,72.1,368,4,0,91,75,100,0,C++,Placed,Service Based
24,Male,1,CSE,B.Tech,8.71,0,67.1,328,3,0,90,59,78,1,C++,Placed,Product Based
20,Female,2,ECE,B.Tech,8.75,0,82.8,262,3,1,100,81,94,0,Java,Placed,Product Based
22,Male,1,ECE,B.Tech,9.51,0,92.3,332,1,2,98,71,88,0,C++,Placed,Product Based
21,Female,3,CSE,B.Tech,7.13,1,86.5,272,3,0,79,88,77,0,C++,Placed,Service Based
24,Male,1,AI&DS,B.Tech,7.17,0,82.1,156,0,0,87,49,84,0,Python,Placed,Service Based
23,Female,1,EEE,B.Tech,7.52,0,75.2,130,3,1,88,73,69,0,Python,Placed,Product Based
22,Female,3,IT,B.Tech,8.58,1,92.6,137,1,1,98,82,83,1,Java,Placed,Product Based
23,Male,3,CSE,B.Tech,7.54,1,76,82,1,0,83,73,68,0,Java,Not Placed,Not Placed
23,Female,3,ECE,B.Tech,6.77,0,66.6,96,0,0,85,73,57,0,Java,Not Placed,Not Placed
20,Female,2,EEE,B.Tech,7.9,0,88.6,247,1,0,94,75,95,2,C++,Placed,Product Based
20,Female,3,CSE,B.Tech,7.44,0,79.8,152,0,0,73,76,72,0,Java,Placed,Service Based
21,Female,3,EEE,B.Tech,7.1,0,76.8,0,1,0,87,74,52,1,Python,Not Placed,Not Placed
22,Male,3,MECH,B.Tech,6.92,1,73.2,233,2,0,82,64,73,1,Java,Placed,Service Based
24,Male,1,IT,B.Tech,6.99,0,93.7,150,0,0,86,62,87,2,Python,Placed,Product Based
21,Male,2,AI&DS,B.Tech,8.57,0,89.9,320,2,0,100,57,97,2,Java,Placed,Product Based
23,Female,2,ECE,B.Tech,7.37,0,75,75,1,0,87,62,61,0,Python,Placed,Service Based
21,Female,3,EEE,B.Tech,7.23,1,97.7,146,0,0,85,67,57,0,C++,Not Placed,Not Placed
24,Male,1,AI&DS,B.Tech,8.65,1,89.9,226,2,0,92,81,86,0,Python,Placed,Product Based
22,Female,2,EEE,B.Tech,8.65,0,90.5,328,0,2,85,58,83,2,C++,Placed,Product Based
20,Female,3,AI&DS,B.Tech,8.02,0,70.8,179,0,1,83,65,64,0,C++,Placed,Product Based
22,Male,2,EEE,B.Tech,8.93,0,82.4,437,4,2,100,50,98,0,Python,Placed,Product Based
21,Female,2,ECE,B.Tech,8.46,0,79,301,3,0,89,56,95,1,Java,Placed,Product Based
24,Male,2,AI&DS,B.Tech,7.15,0,81.4,158,2,0,78,62,74,0,C++,Placed,Service Based
24,Male,3,AI&DS,B.Tech,7.33,1,100,90,0,0,86,76,67,3,C++,Placed,Service Based
22,Male,3,IT,B.Tech,7.08,1,85.3,165,2,0,69,59,66,0,Python,Placed,Service Based
23,Female,2,CSE,B.Tech,7.45,1,78.5,179,0,1,81,56,76,2,C++,Placed,Service Based
24,Male,2,ECE,B.Tech,6.63,0,88.9,182,4,0,89,62,90,0,C++,Placed,Product Based
23,Male,3,MECH,B.Tech,7.51,0,62.9,220,4,0,83,76,81,0,Python,Placed,Product Based
23,Female,2,EEE,B.Tech,8.03,1,86.9,280,5,2,95,72,100,2,Java,Placed,Product Based
22,Female,2,AI&DS,B.Tech,10,0,83.5,347,8,3,100,58,88,3,C++,Placed,Product Based
22,Female,2,ECE,B.Tech,8.26,0,61.6,188,2,1,94,40,44,3,Java,Placed,Product Based
22,Male,2,AI&DS,B.Tech,8.52,0,78.1,328,3,2,100,70,85,2,Python,Placed,Product Based
24,Male,3,IT,B.Tech,7.71,1,80.4,242,1,0,100,61,78,2,Java,Not Placed,Not Placed
20,Female,2,CSE,B.Tech,6.9,0,77.3,88,0,0,78,75,65,0,Python,Placed,Service Based
22,Male,2,ECE,B.Tech,7.58,0,90.4,210,5,0,91,77,76,2,Java,Placed,Product Based
22,Female,2,EEE,B.Tech,7.46,0,74.8,271,1,0,95,63,77,2,Python,Placed,Service Based
22,Female,2,EEE,B.Tech,8.45,0,77.5,355,3,2,96,40,94,1,C++,Placed,Service Based
20,Male,1,CSE,B.Tech,7.31,0,83.3,124,2,0,95,60,68,0,Java,Placed,Service Based
23,Female,3,EEE,B.Tech,9.49,1,71.6,304,0,1,94,53,99,1,Python,Placed,Product Based
22,Female,2,CSE,B.Tech,8.03,0,83.4,110,0,1,95,56,63,0,C++,Placed,Product Based
22,Female,2,EEE,B.Tech,8.41,0,79.2,322,2,1,97,65,82,1,Python,Placed,Product Based
22,Female,2,ECE,B.Tech,8.43,0,92.9,121,4,1,100,86,74,1,Python,Placed,Product Based
23,Male,2,AI&DS,B.Tech,7.59,0,80.4,187,4,2,94,88,78,0,Python,Placed,Product Based
20,Male,2,MECH,B.Tech,7.62,0,83.9,218,0,0,98,71,70,2,Python,Placed,Service Based
20,Female,2,AI&DS,B.Tech,7.42,0,73,126,0,1,93,53,70,1,Java,Placed,Service Based
21,Male,2,IT,B.Tech,7.87,0,74.3,175,0,0,85,80,83,2,Python,Placed,Service Based
24,Female,2,EEE,B.Tech,8.5,0,81.7,248,5,1,81,68,68,1,Python,Placed,Product Based
22,Male,3,EEE,B.Tech,7.07,0,76,159,1,0,96,75,61,1,C++,Not Placed,Not Placed
24,Female,3,IT,B.Tech,7.89,0,75.2,167,0,0,88,46,64,0,Java,Placed,Service Based
20,Female,3,AI&DS,B.Tech,7.87,0,71,162,4,1,88,60,75,1,Java,Placed,Service Based
23,Male,2,MECH,B.Tech,8.34,1,88.5,367,5,2,90,74,87,0,C++,Placed,Product Based
20,Female,2,AI&DS,B.Tech,7.54,0,91.8,356,4,1,97,66,87,0,Python,Placed,Product Based
23,Male,2,MECH,B.Tech,7.52,1,81.8,188,3,0,85,55,79,0,Python,Placed,Product Based
23,Male,3,AI&DS,B.Tech,7.6,0,66.4,195,2,1,84,83,75,2,C++,Placed,Product Based
21,Male,2,MECH,B.Tech,6.88,1,84,104,0,1,87,51,40,1,Java,Placed,Service Based
23,Male,1,EEE,B.Tech,8.17,0,79.8,277,2,2,91,58,92,0,C++,Placed,Product Based
22,Male,1,ECE,B.Tech,7.82,0,95.7,111,0,2,100,74,58,1,Python,Placed,Service Based
23,Male,2,EEE,B.Tech,7.25,0,75.1,189,3,0,75,54,79,0,C++,Placed,Product Based
24,Female,2,EEE,B.Tech,7.82,0,75,159,0,0,80,73,58,0,Python,Placed,Service Based
21,Male,1,ECE,B.Tech,9.32,0,89.9,309,5,1,100,49,75,1,Python,Placed,Product Based
24,Female,3,CSE,B.Tech,6.78,0,80.1,116,3,0,86,61,61,0,C++,Placed,Service Based
21,Female,2,ECE,B.Tech,6.65,2,71.7,137,1,0,78,64,61,1,Python,Not Placed,Not Placed
23,Female,1,AI&DS,B.Tech,7.94,0,85.4,188,1,2,78,70,78,0,Java,Placed,Product Based
21,Male,2,ECE,B.Tech,7.77,0,86.8,163,0,1,95,68,72,0,C++,Placed,Service Based
22,Male,3,MECH,B.Tech,8.5,0,76.7,323,5,1,100,78,88,1,Python,Placed,Product Based
23,Female,2,IT,B.Tech,6.39,0,74.9,62,0,0,81,74,59,0,Java,Placed,Service Based
22,Male,1,AI&DS,B.Tech,8.64,0,69,212,4,2,100,59,84,1,C++,Placed,Product Based
22,Female,3,ECE,B.Tech,7.17,0,77.6,60,3,2,88,60,71,0,Java,Placed,Product Based
22,Male,1,CSE,B.Tech,6,1,83.4,108,4,0,83,65,49,1,C++,Placed,Product Based
21,Male,3,ECE,B.Tech,8.3,0,96.9,293,4,1,95,45,100,1,Python,Placed,Product Based
22,Male,1,CSE,B.Tech,6.97,0,77.9,194,4,0,100,72,67,1,C++,Placed,Product Based
24,Female,2,IT,B.Tech,7.83,0,97.9,248,3,1,89,59,74,1,Python,Placed,Product Based
22,Female,2,CSE,B.Tech,6.01,1,80.5,105,0,0,89,74,72,0,Java,Placed,Service Based
21,Female,3,ECE,B.Tech,7.75,0,75.7,101,0,1,84,69,52,0,Python,Placed,Product Based
20,Male,3,EEE,B.Tech,8.63,0,87.8,329,2,2,95,79,99,3,C++,Placed,Product Based
23,Male,3,CSE,B.Tech,8.95,0,85.2,235,5,3,87,71,70,0,Java,Placed,Product Based
21,Female,3,MECH,B.Tech,7.32,0,90.8,78,2,1,99,45,50,0,C++,Placed,Service Based
20,Female,3,AI&DS,B.Tech,8.98,0,84.2,272,1,1,100,74,60,0,C++,Placed,Product Based
20,Female,2,IT,B.Tech,6.24,1,75.6,35,0,0,84,49,47,0,C++,Placed,Service Based
20,Female,2,AI&DS,B.Tech,7.8,0,78.9,341,5,2,99,75,95,2,C++,Placed,Product Based
21,Female,3,ECE,B.Tech,7.02,0,85.2,225,1,0,95,75,71,0,Java,Placed,Product Based
20,Female,3,ECE,B.Tech,5.82,0,90.1,93,0,0,85,74,64,1,Java,Not Placed,Not Placed
21,Female,2,MECH,B.Tech,7.22,0,87.2,110,0,1,90,80,69,0,C++,Placed,Service Based
24,Male,3,MECH,B.Tech,8.59,0,79.3,55,2,1,81,64,77,3,Python,Placed,Service Based
24,Female,1,ECE,B.Tech,7.91,0,86.6,263,4,2,98,65,80,1,C++,Placed,Product Based
23,Female,2,MECH,B.Tech,7.49,0,81.8,305,2,1,85,59,77,1,Python,Placed,Product Based
24,Male,3,MECH,B.Tech,6.5,1,75.2,107,1,0,87,61,47,0,Python,Not Placed,Not Placed
20,Female,1,MECH,B.Tech,7.95,0,70.4,209,3,0,95,66,68,0,Python,Placed,Service Based
23,Male,3,CSE,B.Tech,6.68,1,84.7,204,0,0,79,94,69,2,Java,Placed,Service Based
21,Female,2,ECE,B.Tech,8.63,1,76.8,222,5,1,100,56,69,1,Java,Placed,Product Based
21,Male,2,CSE,B.Tech,7.69,0,85.1,163,0,3,100,62,93,1,C++,Placed,Product Based
23,Female,1,MECH,B.Tech,7.83,0,81.9,256,4,1,85,63,96,0,Java,Placed,Product Based
21,Male,2,CSE,B.Tech,8.2,1,91.5,260,5,2,99,75,74,1,Java,Placed,Product Based
23,Female,1,IT,B.Tech,8.45,1,98.6,195,0,2,77,61,77,0,C++,Placed,Product Based
21,Male,2,CSE,B.Tech,7.55,0,73,169,3,1,84,64,67,0,Java,Placed,Service Based
24,Male,3,ECE,B.Tech,6.91,1,75.9,213,0,1,83,67,68,0,Python,Not Placed,Not Placed
24,Female,3,CSE,B.Tech,7.29,1,83.9,108,0,1,89,48,59,0,Java,Not Placed,Not Placed
24,Female,1,CSE,B.Tech,6.28,0,72.3,105,3,0,74,48,87,0,Python,Not Placed,Not Placed
21,Female,1,AI&DS,B.Tech,9.82,0,80.5,325,9,2,100,58,82,3,Java,Placed,Product Based
24,Female,2,EEE,B.Tech,6.44,1,87.5,0,0,0,89,78,73,0,Python,Not Placed,Not Placed
21,Male,1,IT,B.Tech,7.56,0,78.8,96,2,1,85,63,89,1,C++,Placed,Service Based
22,Female,3,EEE,B.Tech,7.75,0,79.9,243,2,0,100,67,82,1,Java,Placed,Product Based
20,Female,1,IT,B.Tech,9.06,0,71.8,348,2,2,96,77,85,1,Java,Placed,Service Based
23,Male,3,EEE,B.Tech,5.97,1,84.9,52,3,0,87,58,38,0,Java,Not Placed,Not Placed
24,Female,2,MECH,B.Tech,7.93,0,82.1,288,2,1,85,46,86,4,Java,Placed,Service Based
23,Male,2,MECH,B.Tech,8.04,0,84.4,190,6,1,100,74,67,1,Java,Placed,Product Based
22,Female,2,MECH,B.Tech,6.77,0,85.6,164,3,0,85,67,84,0,C++,Not Placed,Not Placed
20,Female,2,CSE,B.Tech,8.33,0,80.4,183,0,1,99,74,72,1,C++,Placed,Product Based
20,Male,1,ECE,B.Tech,9.18,1,79.2,266,4,2,100,44,90,1,Java,Placed,Product Based
22,Male,3,MECH,B.Tech,9.31,0,82.8,235,1,3,100,65,100,0,Java,Placed,Product Based
23,Female,1,AI&DS,B.Tech,7.45,1,72.7,186,1,0,82,65,54,1,Java,Placed,Service Based
22,Male,1,MECH,B.Tech,6.79,1,85.8,122,0,1,91,64,76,2,C++,Not Placed,Not Placed
24,Female,3,MECH,B.Tech,8.21,0,65,292,3,2,100,68,100,0,C++,Placed,Product Based
24,Male,3,MECH,B.Tech,7.65,0,76.8,173,0,1,81,67,70,1,Java,Placed,Product Based
21,Female,2,IT,B.Tech,9.09,1,89.6,242,0,2,87,54,89,3,C++,Placed,Product Based
24,Male,3,MECH,B.Tech,8.31,0,88.2,157,4,0,82,74,73,1,C++,Placed,Service Based
20,Female,2,ECE,B.Tech,8.97,0,82.9,275,5,2,100,72,82,2,Python,Placed,Product Based
24,Male,3,EEE,B.Tech,7.56,1,87.9,133,1,0,100,51,72,0,C++,Placed,Service Based
23,Male,2,MECH,B.Tech,6.68,0,70.9,186,0,0,91,56,75,1,Java,Not Placed,Not Placed
22,Male,1,EEE,B.Tech,7.79,0,84,134,0,1,92,74,87,0,Python,Placed,Product Based
